customer,invoice_date,qty_shipped,item,description,industry,contact_owner,lifetime_sales,first_sale,county,market_opportunity,%_market_opp,item_price_rank,target
7NMHOS,2018-06-29,6.0,AAH56RDN9WA1AN,MOTO XPR 7550E FKP GPS GOB BT,Healthcare,Jessica Spindler,73671.63,11/01/1999,Emmet,80040.0,0.131,87,1
1GUAPR,2015-06-05,1.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,Manufacturing,Kelly Hoek,35554.07,11/01/1999,Ottawa,825673.0,0.309,112,1
1KENQF,2016-08-26,6.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,Manufacturing,Kelly Hoek,60147.55,9/29/2008,Ottawa,825673.0,0.309,112,1
1MNATS,2019-05-17,1.0,FCC LICENSING,FCC LICENSING,Services & Training,Skip Petrovich,5804.99,4/22/2019,Kent,1601574.0,0.42100000000000004,140,1
1FRECO,2018-12-20,1.0,AAM01QPC9JA1AN,MOTO CM200D 403-470 40W 16CH,Agriculture,Pat McBride,9394.38,4/12/2001,Newaygo,94629.0,0.16699999999999998,196,1
1GTPAV,2016-08-19,2.0,AAH84RCS8AA1,BPR40 UHF 450-470 8CH 4W,Healthcare,Jessica Spindler,8152.46,9/30/2009,Grand Traverse,215459.0,0.205,386,1
1HUDPS,2018-09-07,2.0,AC127U502-MOT-NA,MOTO VX-264-G6-5 UHF 403-470,K12 Education,Keith Johnson,2363.0,1/21/2013,Ottawa,825673.0,0.309,328,1
1YOULP,2017-07-28,1.0,AAR10QCGANQ1AN,MOTO SLR 5700 403-470 1-50W,Hospitality,Jessica Spindler,15994.39,9/29/2008,Missaukee,39321.0,0.237,21,1
7NMHOS,2018-06-29,6.0,AAH56RDN9WA1AN,MOTO XPR 7550E FKP GPS GOB BT,Healthcare,Jessica Spindler,73671.63,11/01/1999,Emmet,80040.0,0.131,87,1
1FENFD,2019-08-30,6.0,NNTN8930,MOTO BATT IMPRESS 2 LIION,Fire & EMS,Keith Johnson,5537.85,11/01/1999,Allegan,318656.0,0.149,491,1
1SUNMA,2018-10-24,12.0,PMNN4468,MOTO BATT LIION 2300T,Healthcare,Kelly Hoek,64147.13,11/01/1999,Ottawa,825673.0,0.309,677,1
1HOLPD,2017-10-31,14.0,PMLN6765,"MOTO ACCESSORY KIT, TACTICAL",Law Enforcement,Keith Johnson,184563.18,11/01/1999,Ottawa,825673.0,0.309,308,1
1QUINM,2016-06-27,1.0,AAR10QCGANQ1AN,MOTO SLR 5700 403-470 1-50W,Law Enforcement,Keith Johnson,44299.77,6/02/2016,Ottawa,825673.0,0.309,21,1
1COAST,2015-05-08,1.0,AAH84KDJ8AA1,MOTO BPR40 16CH 5W 150-174 VHF,Manufacturing,Kelly Hoek,6963.3,5/10/2011,Ottawa,825673.0,0.309,381,1
1OTSEG,2018-09-11,2.0,V5530-LVZ-M-GEN,CALAMP VANGUARD 5530 ROUTER,Fire & EMS,Jessica Spindler,373313.3,7/23/2013,Otsego,63870.0,0.134,197,1
1KEEBL,2020-06-30,4.0,AAH02RDC9VA1AN,MOTO XPR 3300E 403-512 4W,Manufacturing,Skip Petrovich,94027.6,11/01/1999,Kent,1601574.0,0.42100000000000004,182,1
1KENQF,2016-08-26,6.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,Manufacturing,Kelly Hoek,60147.55,9/29/2008,Ottawa,825673.0,0.309,112,1
1COLQF,2016-06-30,2.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,Manufacturing,Pat McBride,23107.09,11/01/1999,Muskegon,281690.0,0.17600000000000002,264,1
1HAWOR,2020-06-12,2.0,AAH56RDN9RA1AN,MOTO XPR 7550e FKP GPS BT,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309,82,1
1ZFSIT,2019-09-20,3.0,PMPN4284,MOTO MULTI-UNIT CHARGER,Agriculture,Kelly Hoek,51213.65,12/14/2018,Ottawa,825673.0,0.309,184,1
1FENFD,2019-11-22,1.0,RLN6554,MOTO APX WIRELESS RSM W/DUC,Fire & EMS,Keith Johnson,5537.85,11/01/1999,Allegan,318656.0,0.149,360,1
7ANTCS,2017-09-28,1.0,1200-013,SPECTRACOM SECURESYNCH CHASIS,Law Enforcement,Jessica Spindler,375979.66,11/01/1999,Antrim,51231.0,0.07200000000000001,4,1
4STJTP,2017-09-14,2.0,CCMC18,"TROY 18"" SLOPED CONSOLE",Law Enforcement,Tom Gillespie,26776.59,4/06/2004,Berrien,510290.0,0.29100000000000004,275,1
1MNATS,2019-05-17,1.0,FCC LICENSING,FCC LICENSING,Services & Training,Skip Petrovich,5804.99,4/22/2019,Kent,1601574.0,0.42100000000000004,140,1
7EMAMB,2016-06-10,1.0,AAM28JQN9KA1,XPR5550 VHF MOBILE 45W 1000CH,Fire & EMS,Jessica Spindler,119689.2,9/29/2014,Emmet,80040.0,0.131,134,1
1PRIDG,2019-04-18,1.0,AAH01QDC9JA2AN,MOTO CP200D 403-470 4W ND,Manufacturing,Skip Petrovich,25499.27,2/07/2014,Kent,1601574.0,0.42100000000000004,218,1
1OTISD,2019-06-28,1.0,FUTURE ACCESSORIES,to be determined by customer,K12 Education,Keith Johnson,114334.56,9/20/2006,Ottawa,825673.0,0.309,6,1
4BARPD,2017-08-31,1.0,S4705UINT13,PRO-GARD REAR SEAT/STEEL SCRN,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.29100000000000004,77,1
1KENPS,2018-11-29,1.0,AAR10QCGANQ1AN,MOTO SLR 5700 403-470 1-50W,K12 Education,Keith Johnson,208252.36,11/01/1999,Kent,1601574.0,0.42100000000000004,21,1
1PERRI,2018-11-14,7.0,T8319,MOTO SLR 8000 BASE RADIO,Manufacturing,Kelly Hoek,431948.95,3/20/2014,Allegan,318656.0,0.149,5,1
1LEECS,2016-03-11,11.0,PMMN4071,MOTO IMPRESS RSM LARGE 3.5 JCK,Law Enforcement,Jessica Spindler,27704.41,11/01/1999,Leelanau,47091.0,0.015,557,1
1OTSEG,2020-02-07,5.0,GS999CA-SXXXEN,UNICATION AMPLIFIED CHARGER,Fire & EMS,Jessica Spindler,373313.3,7/23/2013,Otsego,63870.0,0.134,466,1
1OTTSD,2018-03-29,1.0,1409320100,CALAMP FUSION LTE ROUTER,Law Enforcement,Keith Johnson,848407.03,11/01/1999,Ottawa,825673.0,0.309,52,1
1CHECS,2019-12-10,2.0,AE22ZCDA4HXX,GETAC: A140 TABLET LTE,Law Enforcement,Jessica Spindler,137983.45,11/01/1999,Cheboygan,64817.0,0.402,15,1
1DORFD,2018-07-27,16.0,PROMO GS9XBRC-SXXXEN,UNIC G4/G5 STD DESKTOP CHRGR,Fire & EMS,Keith Johnson,13837.47,11/01/1999,Allegan,318656.0,0.149,663,1
1NBFAS,2015-12-18,5.0,AAH02JDH9JA2,MOTO XPR3500 136-174 128CH,K12 Education,Tom Gillespie,41701.03,9/29/2015,Berrien,510290.0,0.29100000000000004,204,1
7MARMA,2015-12-18,6.0,AAH01JDC9JA2,CP200D VHF 5W ND,Manufacturing,Jessica Spindler,85206.71,11/01/1999,Manistee,62275.0,0.39,252,1
1BISSE,2015-07-10,1.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,Manufacturing,Skip Petrovich,56020.78,11/01/1999,Kent,1601574.0,0.42100000000000004,115,1
1COORI,2018-10-09,1.0,AAM28JQC9RA1AN,MOTO XPR 5350E 136-174 45W,K12 Education,Jessica Spindler,7577.75,10/08/2015,Roscommon,55477.0,0.28300000000000003,137,1
1GTPAV,2016-08-19,2.0,AAH84RCS8AA1,BPR40 UHF 450-470 8CH 4W,Healthcare,Jessica Spindler,8152.46,9/30/2009,Grand Traverse,215459.0,0.205,386,1
1ARCBG,2015-05-22,2.0,AAH84RCJ8AA1,MOTO BPR40 UHF 4W 16CH NAVY,Hospitality,Jessica Spindler,13119.42,11/01/1999,Manistee,62275.0,0.39,374,1
